City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,kodiak,57.79,-152.4072,6.730000000000018,100,100,10.29,US,1717950877
66,yuzhno-kurilsk,44.0306,145.8556,11.32000000000005,93,99,3.75,RU,1717950878
67,bredasdorp,-34.5322,20.0403,11.020000000000039,89,5,2.4,ZA,1717950873
68,san patricio,28.017,-97.5169,34.74000000000001,43,3,5.67,US,1717950880
69,usinsk,65.9939,57.5281,10.04000000000002,50,100,4.47,RU,1717950887
70,gibong,11.8634,122.0394,26.620000000000005,80,100,1.72,PH,1717950943
71,puerto baquerizo moreno,-0.9,-89.6,26.55000000000001,69,75,5.14,EC,1717950731
72,vorgashor,67.5833,63.95,2.1100000000000136,96,100,4.14,RU,1717950875
73,sinjai,-5.1241,120.253,25.430000000000007,89,45,0.52,ID,1717950943
74,verkhniy ufaley,56.0567,60.2306,12.29000000000002,99,100,1.7,RU,1717950713
75,mrakovo,52.7161,56.6244,14.860000000000014,92,47,1.79,RU,1717950943
76,sao joao da barra,-21.6403,-41.0511,30.05000000000001,69,3,5.16,BR,1717950943
77,kapa'a,22.0752,-159.319,24.180000000000007,82,100,4.12,US,1717950943
78,rawatsar,29.2833,74.3833,38.49000000000001,16,48,5.21,IN,1717950943
79,kruisfontein,-34.0033,24.7314,11.600000000000023,82,0,1.54,ZA,1717950879
80,iskateley,67.6803,53.1512,5.010000000000048,71,100,4.92,RU,1717950872
81,alice springs,-23.7,133.8833,5.75,93,0,0.0,AU,1717950884
82,lagunas,-5.2269,-75.6753,28.420000000000016,68,96,1.04,PE,1717950943
83,lindley,-27.8791,27.9135,8.520000000000039,49,2,1.48,ZA,1717950943
84,forest grove,45.5198,-123.1107,20.180000000000007,68,0,1.79,US,1717950943
85,richards bay,-28.783,32.0377,16.420000000000016,68,0,2.9,ZA,1717950881
86,cosamaloapan,18.3667,-95.8,38.450000000000045,32,65,2.2,MX,1717950943
87,altay,47.8667,88.1167,16.689999999999998,65,41,2.28,CN,1717950924
88,lorengau,-2.0226,147.2712,27.560000000000002,80,39,1.86,PG,1717950944
89,majene,-3.5403,118.9707,25.100000000000023,92,68,3.76,ID,1717950944
90,dayr hafir,36.1569,37.7078,31.700000000000045,29,38,6.78,SY,1717950944
91,alofi,-19.0595,-169.9187,20.939999999999998,83,40,4.63,NU,1717950876
92,lerwick,60.1545,-1.1494,11.0,79,99,9.77,GB,1717950681
93,laojunmiao,39.8333,97.7333,20.510000000000048,15,87,4.05,CN,1717950944
94,aasiaat,68.7098,-52.8699,1.3000000000000114,98,100,1.44,GL,1717950878
95,amungan,15.3652,119.9582,28.49000000000001,74,98,2.29,PH,1717950944
96,jaggayyapeta,16.9,80.1,30.04000000000002,64,91,4.85,IN,1717950944
97,remire-montjoly,4.9167,-52.2667,28.02000000000004,83,25,1.54,GF,1717950883
98,manicore,-5.8092,-61.3003,34.94,39,19,1.48,BR,1717950944
99,erenhot,43.6475,111.9767,24.53000000000003,20,66,4.51,CN,1717950944
100,oruro,-17.9833,-67.15,13.270000000000039,28,68,1.03,BO,1717950944
101,armacao de buzios,-22.7469,-41.8817,30.03000000000003,77,5,9.07,BR,1717950892
